movie_id,name,job,id,title,vote_average,vote_count,budget,revenue
49013,John Lasseter,Director,49013,Cars 2,5.8,2033,200000000,559852396
49013,Brad Lewis,Director,49013,Cars 2,5.8,2033,200000000,559852396
44912,Martin Campbell,Director,44912,Green Lantern,5.1,2487,200000000,219851172
10193,Lee Unkrich,Director,10193,Toy Story 3,7.6,4597,200000000,1066969703
534,McG,Director,534,Terminator Salvation,5.9,2463,200000000,371353001
168259,James Wan,Director,168259,Furious 7,7.3,4176,190000000,1506249360
72190,Marc Forster,Director,72190,World War Z,6.7,5560,200000000,531865000
127585,Bryan Singer,Director,127585,X-Men: Days of Future Past,7.5,6032,250000000,747862775
54138,J.J. Abrams,Director,54138,Star Trek Into Darkness,7.4,4418,190000000,467365246
81005,Bryan Singer,Director,81005,Jack the Giant Slayer,5.5,2598,195000000,197687603
64682,Baz Luhrmann,Director,64682,The Great Gatsby,7.3,3769,105000000,351040419
9543,Mike Newell,Director,9543,Prince of Persia: The Sands of Time,6.2,2317,150000000,335154643
68726,Guillermo del Toro,Director,68726,Pacific Rim,6.7,4794,180000000,407602906
38356,Michael Bay,Director,38356,Transformers: Dark of the Moon,6.1,3299,195000000,1123746996
217,Steven Spielberg,Director,217,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,185000000,786636033
105864,Peter Sohn,Director,105864,The Good Dinosaur,6.6,1736,175000000,331926147
62177,Brenda Chapman,Director,62177,Brave,6.7,4641,185000000,538983207
62177,Mark Andrews,Director,62177,Brave,6.7,4641,185000000,538983207
62177,Steve Purcell,Director,62177,Brave,6.7,4641,185000000,538983207
188927,Justin Lin,Director,188927,Star Trek Beyond,6.6,2568,185000000,343471816
10681,Andrew Stanton,Director,10681,WALL·E,7.8,6296,180000000,521311860
5174,Brett Ratner,Director,5174,Rush Hour 3,6.1,783,140000000,258022233
14161,Roland Emmerich,Director,14161,2012,5.6,4903,200000000,769653595
17979,Robert Zemeckis,Director,17979,A Christmas Carol,6.6,1095,200000000,325233863
76757,Lilly Wachowski,Director,76757,Jupiter Ascending,5.2,2768,176000003,183987723
76757,Lana Wachowski,Director,76757,Jupiter Ascending,5.2,2768,176000003,183987723
258489,David Yates,Director,258489,The Legend of Tarzan,5.5,2430,180000000,356743061
411,Andrew Adamson,Director,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,180000000,748806957
246655,Bryan Singer,Director,246655,X-Men: Apocalypse,6.4,4721,178000000,543934787
155,Christopher Nolan,Director,155,The Dark Knight,8.2,12002,185000000,1004558444
14160,Pete Docter,Director,14160,Up,7.7,6870,175000000,735099082
15512,Conrad Vernon,Director,15512,Monsters vs Aliens,6.0,1423,175000000,381509870
15512,Rob Letterman,Director,15512,Monsters vs Aliens,6.0,1423,175000000,381509870
1726,Jon Favreau,Director,1726,Iron Man,7.4,8776,140000000,585174222
44826,Martin Scorsese,Director,44826,Hugo,7.0,2141,170000000,185770160
8487,Barry Sonnenfeld,Director,8487,Wild Wild West,5.1,1020,170000000,222104681
1735,Rob Cohen,Director,1735,The Mummy: Tomb of the Dragon Emperor,5.2,1387,145000000,401128639
297761,David Ayer,Director,297761,Suicide Squad,5.9,7458,175000000,745000000
2698,Tom Shadyac,Director,2698,Evan Almighty,5.3,1151,175000000,173000000
137113,Doug Liman,Director,137113,Edge of Tomorrow,7.6,4858,178000000,370541256
9804,Kevin Reynolds,Director,9804,Waterworld,5.9,992,175000000,264218220
14869,Stephen Sommers,Director,14869,G.I. Joe: The Rise of Cobra,5.6,1962,175000000,302469017
150540,Pete Docter,Director,150540,Inside Out,8.0,6560,175000000,857611174
278927,Jon Favreau,Director,278927,The Jungle Book,6.7,2892,175000000,966550600
10138,Jon Favreau,Director,10138,Iron Man 2,6.6,6849,200000000,623933331
58595,Rupert Sanders,Director,58595,Snow White and the Huntsman,5.8,3118,170000000,396600000
102651,Robert Stromberg,Director,102651,Maleficent,7.0,4496,180000000,758539785
119450,Matt Reeves,Director,119450,Dawn of the Planet of the Apes,7.3,4410,170000000,710644566
79698,Roland Joffé,Director,79698,The Lovers,4.8,34,27000000,0
64686,Carl Rinsch,Director,64686,47 Ronin,5.9,1326,175000000,150962475
100402,Anthony Russo,Director,100402,Captain America: The Winter Soldier,7.6,5764,170000000,714766572
100402,Joe Russo,Director,100402,Captain America: The Winter Soldier,7.6,5764,170000000,714766572
10192,Mike Mitchell,Director,10192,Shrek Forever After,6.0,1959,165000000,752600867
158852,Brad Bird,Director,158852,Tomorrowland,6.2,2846,190000000,209154322
177572,Chris Williams,Director,177572,Big Hero 6,7.8,6135,165000000,652105443
177572,Don Hall,Director,177572,Big Hero 6,7.8,6135,165000000,652105443
82690,Rich Moore,Director,82690,Wreck-It Ralph,7.1,4570,165000000,471222889
5255,Robert Zemeckis,Director,5255,The Polar Express,6.4,1474,165000000,305875730
47933,Roland Emmerich,Director,47933,Independence Day: Resurgence,4.9,2491,165000000,389681935
10191,Chris Sanders,Director,10191,How to Train Your Dragon,7.5,4227,165000000,494878759
10191,Dean DeBlois,Director,10191,How to Train Your Dragon,7.5,4227,165000000,494878759
296,Jonathan Mostow,Director,296,Terminator 3: Rise of the Machines,5.9,2143,200000000,435000000
118340,James Gunn,Director,118340,Guardians of the Galaxy,7.9,9742,170000000,773328629
157336,Christopher Nolan,Director,157336,Interstellar,8.1,10867,165000000,675120017
27205,Christopher Nolan,Director,27205,Inception,8.1,13752,160000000,825532764
315011,Hideaki Anno,Director,315011,Shin Godzilla,6.5,143,15000000,77000000
315011,Shinji Higuchi,Director,315011,Shin Godzilla,6.5,143,15000000,77000000
49051,Peter Jackson,Director,49051,The Hobbit: An Unexpected Journey,7.0,8297,250000000,1021103568
9799,Rob Cohen,Director,9799,The Fast and the Furious,6.6,3428,38000000,207283925
4922,David Fincher,Director,4922,The Curious Case of Benjamin Button,7.3,3292,150000000,333932083
49538,Matthew Vaughn,Director,49538,X-Men: First Class,7.1,5181,160000000,353624124
131634,Francis Lawrence,Director,131634,The Hunger Games: Mockingjay - Part 2,6.6,3984,160000000,653428261
27022,Jon Turteltaub,Director,27022,The Sorcerer's Apprentice,5.8,1470,150000000,215283742
503,Wolfgang Petersen,Director,503,Poseidon,5.5,583,160000000,181674817
241259,James Bobin,Director,241259,Alice Through the Looking Glass,6.5,1725,170000000,299370084
810,Chris Miller,Director,810,Shrek the Third,6.0,2278,160000000,798958165
810,Raman Hui,Director,810,Shrek the Third,6.0,2278,160000000,798958165
68735,Duncan Jones,Director,68735,Warcraft,6.3,2268,160000000,433677183
87101,Alan Taylor,Director,87101,Terminator Genisys,5.8,3631,155000000,440603537
10140,Michael Apted,Director,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,155000000,415686217
676,Michael Bay,Director,676,Pearl Harbor,6.6,1791,140000000,449220945
1858,Michael Bay,Director,1858,Transformers,6.6,4040,150000000,709709780
1966,Oliver Stone,Director,1966,Alexander,5.6,927,155000000,167298192
675,David Yates,Director,675,Harry Potter and the Order of the Phoenix,7.4,5494,150000000,938212738
674,Mike Newell,Director,674,Harry Potter and the Goblet of Fire,7.5,5608,150000000,895921036
8960,Peter Berg,Director,8960,Hancock,6.2,2961,150000000,624029371
6479,Francis Lawrence,Director,6479,I Am Legend,6.9,4853,150000000,585349010
118,Tim Burton,Director,118,Charlie and the Chocolate Factory,6.7,3624,150000000,474968763
2062,Jan Pinkava,Director,2062,Ratatouille,7.5,4369,150000000,623722818
2062,Brad Bird,Director,2062,Ratatouille,7.5,4369,150000000,623722818
272,Christopher Nolan,Director,272,Batman Begins,7.5,7359,150000000,374218673
10527,Eric Darnell,Director,10527,Madagascar: Escape 2 Africa,6.2,1810,150000000,603900354
10527,Tom McGrath,Director,10527,Madagascar: Escape 2 Africa,6.2,1810,150000000,603900354
18360,Shawn Levy,Director,18360,Night at the Museum: Battle of the Smithsonian,5.9,1971,150000000,413106170
2080,Gavin Hood,Director,2080,X-Men Origins: Wolverine,6.2,4021,150000000,373062864
605,Lilly Wachowski,Director,605,The Matrix Revolutions,6.4,3096,150000000,424988211
605,Lana Wachowski,Director,605,The Matrix Revolutions,6.4,3096,150000000,424988211
109445,Chris Buck,Director,109445,Frozen,7.3,5295,150000000,1274219009
109445,Jennifer Lee,Director,109445,Frozen,7.3,5295,150000000,1274219009
604,Lilly Wachowski,Director,604,The Matrix Reloaded,6.7,3443,150000000,738599701
604,Lana Wachowski,Director,604,The Matrix Reloaded,6.7,3443,150000000,738599701
76338,Alan Taylor,Director,76338,Thor: The Dark World,6.8,4755,170000000,644571402
76341,George Miller,Director,76341,Mad Max: Fury Road,7.2,9427,150000000,378858340
13448,Ron Howard,Director,13448,Angels & Demons,6.5,2129,150000000,356613439
10195,Kenneth Branagh,Director,10195,Thor,6.6,6525,150000000,449326618
13053,Chris Williams,Director,13053,Bolt,6.3,1750,150000000,309979994
13053,Byron Howard,Director,13053,Bolt,6.3,1750,150000000,309979994
19585,Hoyt Yeatman,Director,19585,G-Force,5.1,510,150000000,292817841
57165,Jonathan Liebesman,Director,57165,Wrath of the Titans,5.5,1431,150000000,301000000
62213,Tim Burton,Director,62213,Dark Shadows,5.7,2320,150000000,245527149
177677,Christopher McQuarrie,Director,177677,Mission: Impossible - Rogue Nation,7.1,3224,150000000,682330139
7978,Joe Johnston,Director,7978,The Wolfman,5.5,549,150000000,0
5559,Steve Hickner,Director,5559,Bee Movie,5.7,1171,150000000,287594577
5559,Simon J. Smith,Director,5559,Bee Movie,5.7,1171,150000000,287594577
49444,Jennifer Yuh Nelson,Director,49444,Kung Fu Panda 2,6.7,1880,150000000,665692281
10196,M. Night Shyamalan,Director,10196,The Last Airbender,4.7,1151,150000000,318502923
956,J.J. Abrams,Director,956,Mission: Impossible III,6.5,2028,150000000,397850012
117251,Roland Emmerich,Director,117251,White House Down,6.4,1891,150000000,205366737
50321,Simon Wells,Director,50321,Mars Needs Moms,5.5,199,150000000,38992758
11619,David Bowers,Director,11619,Flushed Away,6.0,874,149000000,64459316
11619,Sam Fell,Director,11619,Flushed Away,6.0,874,149000000,64459316
266647,Joe Wright,Director,266647,Pan,5.9,954,150000000,128388320
82703,Rob Minkoff,Director,82703,Mr. Peabody & Sherman,6.7,843,145000000,272912430
652,Wolfgang Petersen,Director,652,Troy,6.9,2759,175000000,497409852
80321,Conrad Vernon,Director,80321,Madagascar 3: Europe's Most Wanted,6.4,1808,145000000,746921274
80321,Eric Darnell,Director,80321,Madagascar 3: Europe's Most Wanted,6.4,1808,145000000,746921274
80321,Tom McGrath,Director,80321,Madagascar 3: Europe's Most Wanted,6.4,1808,145000000,746921274
36669,Lee Tamahori,Director,36669,Die Another Day,5.8,1092,140000000,431971116
43074,Paul Feig,Director,43074,Ghostbusters,5.3,2142,144000000,229147509
95,Michael Bay,Director,95,Armageddon,6.4,2482,140000000,553799566
608,Barry Sonnenfeld,Director,608,Men in Black II,6.0,3114,140000000,441818803
2310,Robert Zemeckis,Director,2310,Beowulf,5.5,841,70000000,195735876
140300,Jennifer Yuh Nelson,Director,140300,Kung Fu Panda 3,6.7,1603,145000000,521170825
140300,Alessandro Carloni,Director,140300,Kung Fu Panda 3,6.7,1603,145000000,521170825
56292,Brad Bird,Director,56292,Mission: Impossible - Ghost Protocol,6.8,3972,145000000,694713380
81188,Peter Ramsey,Director,81188,Rise of the Guardians,7.1,1922,145000000,306941670
7552,Dean Parisot,Director,7552,Fun with Dick and Jane,5.9,627,100000000,202026112
616,Edward Zwick,Director,616,The Last Samurai,7.3,1895,140000000,456758981
147441,Ridley Scott,Director,147441,Exodus: Gods and Kings,5.6,1921,140000000,268031828
13475,J.J. Abrams,Director,13475,Star Trek,7.4,4518,150000000,385680446
557,Sam Raimi,Director,557,Spider-Man,6.8,5265,139000000,821708551
82702,Dean DeBlois,Director,82702,How to Train Your Dragon 2,7.6,3106,145000000,609123048
205584,Alex Proyas,Director,205584,Gods of Egypt,5.3,1277,140000000,150680864
10048,Rob Cohen,Director,10048,Stealth,4.9,331,135000000,76932943
13183,Zack Snyder,Director,13183,Watchmen,7.0,2811,130000000,185258983
944,Richard Donner,Director,944,Lethal Weapon 4,6.3,767,140000000,285444603
1927,Ang Lee,Director,1927,Hulk,5.3,1533,137000000,245360480
72559,Jon M. Chu,Director,72559,G.I. Joe: Retaliation,5.4,3025,130000000,371876278
7364,Breck Eisner,Director,7364,Sahara,5.7,434,130000000,119269486
2114,Hironobu Sakaguchi,Director,2114,Final Fantasy: The Spirits Within,5.9,433,137000000,85131830
2114,Motonori Sakakibara,Director,2114,Final Fantasy: The Spirits Within,5.9,433,137000000,85131830
1771,Joe Johnston,Director,1771,Captain America: The First Avenger,6.6,7047,140000000,370569774
36643,Michael Apted,Director,36643,The World Is Not Enough,6.0,862,135000000,361832400
8619,Peter Weir,Director,8619,Master and Commander: The Far Side of the World,6.9,790,150000000,212011111
50620,Bill Condon,Director,50620,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,120000000,829000000
65759,George Miller,Director,65759,Happy Feet Two,5.8,373,130000000,150406466
1724,Louis Leterrier,Director,1724,The Incredible Hulk,6.1,3021,150000000,163712074
267935,Steven Spielberg,Director,267935,The BFG,6.0,1000,140000000,183345589
281957,Alejandro González Iñárritu,Director,281957,The Revenant,7.3,6396,135000000,532950503
77950,David Soren,Director,77950,Turbo,6.1,1074,135000000,282570682
44896,Gore Verbinski,Director,44896,Rango,6.6,2051,135000000,245724603
270946,Eric Darnell,Director,270946,Penguins of Madagascar,6.5,1346,132000000,373552094
270946,Simon J. Smith,Director,270946,Penguins of Madagascar,6.5,1346,132000000,373552094
2503,Paul Greengrass,Director,2503,The Bourne Ultimatum,7.3,2888,70000000,442824138
9502,Mark Osborne,Director,9502,Kung Fu Panda,6.9,3145,130000000,631744560
9502,John Stevenson,Director,9502,Kung Fu Panda,6.9,3145,130000000,631744560
102899,Peyton Reed,Director,102899,Ant-Man,7.0,5880,130000000,519311965
101299,Francis Lawrence,Director,101299,The Hunger Games: Catching Fire,7.4,6495,130000000,847423452
228161,Tim Johnson,Director,228161,Home,6.8,1519,135000000,368871007
74,Steven Spielberg,Director,74,War of the Worlds,6.2,2322,132000000,591739379
8961,Michael Bay,Director,8961,Bad Boys II,6.3,1564,130000000,273339556
417859,Chris Miller,Director,417859,Puss in Boots,6.4,451,130000000,554987477
27576,Phillip Noyce,Director,27576,Salt,6.2,2093,110000000,293329073
86834,Darren Aronofsky,Director,86834,Noah,5.6,2350,125000000,362637473
17578,Steven Spielberg,Director,17578,The Adventures of Tintin,6.7,2061,130000000,371940071
673,Alfonso Cuarón,Director,673,Harry Potter and the Prisoner of Azkaban,7.7,5877,130000000,789804554
6972,Baz Luhrmann,Director,6972,Australia,6.3,694,130000000,49554002
82700,M. Night Shyamalan,Director,82700,After Earth,5.0,2532,130000000,243843127
10567,Ralph Zondag,Director,10567,Dinosaur,6.2,542,127500000,354248063
10567,Eric Leighton,Director,10567,Dinosaur,6.2,542,127500000,354248063
181533,Shawn Levy,Director,181533,Night at the Museum: Secret of the Tomb,6.1,1851,127000000,349424282
38055,Tom McGrath,Director,38055,Megamind,6.7,1918,130000000,321887208
671,Chris Columbus,Director,671,Harry Potter and the Philosopher's Stone,7.5,7006,125000000,976475550
49524,Robert Schwentke,Director,49524,R.I.P.D.,5.4,1260,130000000,61648500
22,Gore Verbinski,Director,22,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,140000000,655011224
131631,Francis Lawrence,Director,131631,The Hunger Games: Mockingjay - Part 1,6.6,5584,125000000,752100229
591,Ron Howard,Director,591,The Da Vinci Code,6.5,2704,125000000,767820459
172385,Carlos Saldanha,Director,172385,Rio 2,6.3,978,103000000,500188435
36658,Bryan Singer,Director,36658,X2,6.8,3506,110000000,407711549
51497,Justin Lin,Director,51497,Fast Five,7.1,2438,125000000,626137675
58574,Guy Ritchie,Director,58574,Sherlock Holmes: A Game of Shadows,7.0,3886,125000000,334615000
18823,Louis Leterrier,Director,18823,Clash of the Titans,5.6,2233,125000000,232713139
861,Paul Verhoeven,Director,861,Total Recall,7.1,1710,65000000,261317921
1911,John McTiernan,Director,1911,The 13th Warrior,6.4,510,160000000,61698899
49040,Tony Gilroy,Director,49040,The Bourne Legacy,6.0,2651,130000000,276572938
415,Joel Schumacher,Director,415,Batman & Robin,4.2,1418,125000000,238207122
8871,Ron Howard,Director,8871,How the Grinch Stole Christmas,6.2,1386,123000000,345141403
435,Roland Emmerich,Director,435,The Day After Tomorrow,6.2,2392,125000000,544272402
955,John Woo,Director,955,Mission: Impossible II,5.9,1928,125000000,546388105
2133,Wolfgang Petersen,Director,2133,The Perfect Storm,6.2,597,120000000,325756637
1979,Tim Story,Director,1979,Fantastic 4: Rise of the Silver Surfer,5.4,2589,130000000,289047763
87827,Ang Lee,Director,87827,Life of Pi,7.2,5797,120000000,609016565
1250,Mark Steven Johnson,Director,1250,Ghost Rider,5.2,1712,110000000,228738393
324668,Paul Greengrass,Director,324668,Jason Bourne,5.9,2341,120000000,415484914
9471,McG,Director,9471,Charlie's Angels: Full Throttle,5.2,914,120000000,259175788
70981,Ridley Scott,Director,70981,Prometheus,6.3,5080,130000000,403170142
10996,Rob Minkoff,Director,10996,Stuart Little 2,5.4,613,120000000,169956806
68724,Neill Blomkamp,Director,68724,Elysium,6.4,3439,115000000,286140700
2789,David Twohy,Director,2789,The Chronicles of Riddick,6.3,1570,105000000,115772733
97020,José Padilha,Director,97020,RoboCop,5.7,2342,120000000,242688965
7459,Lilly Wachowski,Director,7459,Speed Racer,5.7,354,120000000,93945766
7459,Lana Wachowski,Director,7459,Speed Racer,5.7,354,120000000,93945766
42888,James L. Brooks,Director,42888,How Do You Know,4.9,223,120000000,48668907
37834,James Mangold,Director,37834,Knight and Day,5.9,1547,117000000,261930431
75612,Joseph Kosinski,Director,75612,Oblivion,6.4,4800,120000000,286168572
1895,George Lucas,Director,1895,Star Wars: Episode III - Revenge of the Sith,7.1,4116,113000000,850000000
1894,George Lucas,Director,1894,Star Wars: Episode II - Attack of the Clones,6.4,3992,120000000,649398328
585,Pete Docter,Director,585,"Monsters, Inc.",7.5,5996,115000000,562816256
76170,James Mangold,Director,76170,The Wolverine,6.3,4053,120000000,415440673
1893,George Lucas,Director,1893,Star Wars: Episode I - The Phantom Menace,6.3,4432,115000000,924317558
49519,Chris Sanders,Director,49519,The Croods,6.8,2399,135000000,585178928
49519,Kirk De Micco,Director,49519,The Croods,6.8,2399,135000000,585178928
2395,Thomas Langmann,Director,2395,Asterix at the Olympic Games,5.0,471,97250400,132900000
2395,Frédéric Forestier,Director,2395,Asterix at the Olympic Games,5.0,471,97250400,132900000
12100,John Woo,Director,12100,Windtalkers,5.8,341,115000000,77628265
290595,Cedric Nicolas-Troyan,Director,290595,The Huntsman: Winter's War,6.0,1523,115000000,164602163
98566,Jonathan Liebesman,Director,98566,Teenage Mutant Ninja Turtles,5.8,2636,125000000,477200000
49047,Alfonso Cuarón,Director,49047,Gravity,7.3,5751,105000000,716392705
9619,Roger Donaldson,Director,9619,Dante's Peak,5.7,428,116000000,178127760
308531,Dave Green,Director,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,135000000,245623848
166424,Josh Trank,Director,166424,Fantastic Four,4.4,2278,120000000,167977596
1593,Shawn Levy,Director,1593,Night at the Museum,6.3,2862,110000000,574480841
254128,Brad Peyton,Director,254128,San Andreas,6.0,2968,110000000,470490832
714,Roger Spottiswoode,Director,714,Tomorrow Never Dies,6.0,925,110000000,333011068
2024,Roland Emmerich,Director,2024,The Patriot,6.8,1099,110000000,215294342
163,Steven Soderbergh,Director,163,Ocean's Twelve,6.4,2124,110000000,362744280
787,Doug Liman,Director,787,Mr. & Mrs. Smith,6.5,2965,110000000,478207520
262500,Robert Schwentke,Director,262500,Insurgent,6.2,3829,110000000,295238201
2567,Martin Scorsese,Director,2567,The Aviator,7.0,1489,116000000,102000000
38745,Rob Letterman,Director,38745,Gulliver's Travels,4.9,621,112000000,237382724
40805,Michel Gondry,Director,40805,The Green Hornet,5.5,1251,120000000,227817248
53182,Noam Murro,Director,53182,300: Rise of an Empire,6.1,2397,110000000,337580051
41513,Raja Gosnell,Director,41513,The Smurfs,5.5,1179,110000000,563749323
13700,Will Finn,Director,13700,Home on the Range,5.7,389,110000000,103951461
13700,John Sanford,Director,13700,Home on the Range,5.7,389,110000000,103951461
262504,Robert Schwentke,Director,262504,Allegiant,5.9,1998,110000000,179246868
39254,Shawn Levy,Director,39254,Real Steel,6.6,2692,110000000,299268508
77931,Raja Gosnell,Director,77931,The Smurfs 2,5.5,695,105000000,347434178
1639,Jan de Bont,Director,1639,Speed 2: Cruise Control,4.1,434,160000000,164508066
80274,Gavin Hood,Director,80274,Ender's Game,6.6,2303,110000000,125537191
1571,Len Wiseman,Director,1571,Live Free or Die Hard,6.4,2089,110000000,383531464
120,Peter Jackson,Director,120,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,93000000,871368364
10204,Frank Coraci,Director,10204,Around the World in 80 Days,5.7,672,110000000,72178895
8489,Michael Mann,Director,8489,Ali,6.7,447,107000000,87713825
10588,Bo Welch,Director,10588,The Cat in the Hat,4.9,366,0,0
2048,Alex Proyas,Director,2048,"I, Robot",6.7,3793,120000000,347234916
1495,Ridley Scott,Director,1495,Kingdom of Heaven,6.6,1157,130000000,211643158
10137,Rob Minkoff,Director,10137,Stuart Little,5.8,959,133000000,300135367
10198,Ron Clements,Director,10198,The Princess and the Frog,6.7,1247,105000000,267045765
10198,John Musker,Director,10198,The Princess and the Frog,6.7,1247,105000000,267045765
286217,Ridley Scott,Director,286217,The Martian,7.6,7268,108000000,630161890
1635,Michael Bay,Director,1635,The Island,6.5,1770,126000000,162949164
24113,Peter Chelsom,Director,24113,Town & Country,3.7,16,90000000,10372291
9679,Dominic Sena,Director,9679,Gone in Sixty Seconds,6.1,1485,90000000,237202299
98,Ridley Scott,Director,98,Gladiator,7.9,5439,103000000,457640427
180,Steven Spielberg,Director,180,Minority Report,7.1,2608,102000000,358372926
672,Chris Columbus,Director,672,Harry Potter and the Chamber of Secrets,7.4,5815,100000000,876688482
36557,Martin Campbell,Director,36557,Casino Royale,7.3,3855,150000000,599045960
869,Tim Burton,Director,869,Planet of the Apes,5.6,1243,100000000,362211740
280,James Cameron,Director,280,Terminator 2: Judgment Day,7.7,4185,100000000,520000000
11322,Michael Mann,Director,11322,Public Enemies,6.5,1344,80000000,214104620
4982,Ridley Scott,Director,4982,American Gangster,7.4,1502,100000000,266465037
36955,James Cameron,Director,36955,True Lies,6.8,1116,115000000,378882411
18487,Tony Scott,Director,18487,The Taking of Pelham 1 2 3,6.2,954,100000000,150166126
39451,Paul Weitz,Director,39451,Little Fockers,5.4,1060,100000000,310650585
27581,Adam McKay,Director,27581,The Other Guys,6.1,1383,100000000,170432927
9268,Chuck Russell,Director,9268,Eraser,5.6,543,100000000,242295562
68718,Quentin Tarantino,Director,68718,Django Unchained,7.8,10099,100000000,425368238
10545,Gary Trousdale,Director,10545,The Hunchback of Notre Dame,6.8,1129,100000000,100138851
10545,Kirk Wise,Director,10545,The Hunchback of Notre Dame,6.8,1129,100000000,100138851
11688,Mark Dindal,Director,11688,The Emperor's New Groove,7.2,1490,100000000,169327687
76163,Simon West,Director,76163,The Expendables 2,6.1,2896,100000000,312573423
2059,Jon Turteltaub,Director,2059,National Treasure,6.4,1926,100000000,347451894
2486,Stefen Fangmeier,Director,2486,Eragon,4.9,967,100000000,249288105
16523,Spike Jonze,Director,16523,Where the Wild Things Are,6.4,572,100000000,100086793
116711,Chris Wedge,Director,116711,Epic,6.4,1121,100000000,268426634
37710,Florian Henckel von Donnersmarck,Director,37710,The Tourist,6.0,1699,100000000,278731369
9946,Peter Hyams,Director,9946,End of Days,5.5,482,100000000,211989043
1372,Edward Zwick,Director,1372,Blood Diamond,7.3,2281,100000000,170877916
106646,Martin Scorsese,Director,106646,The Wolf of Wall Street,7.9,6571,100000000,392000694
414,Joel Schumacher,Director,414,Batman Forever,5.2,1498,100000000,336529144
563,Paul Verhoeven,Director,563,Starship Troopers,6.7,1560,105000000,121214377
